Ps,Fd,Wv,Wn,Wd1,Tv,actuator_damping,actuator_force,angular_disp,current,load_flow,load_pressure,orifice_flow,spool_physical_disp,fault
210000000,3,940,224,627,0.5,432.6507739,92.87852589,-0.3073143481,0.3386979519,4.42E-05,257108.268,4.50E-05,1.35E-05,no
210000000,3,940,224,627,0.5,499.4770207,107.9122148,-0.2660353621,0.3940502513,5.10E-05,297157.1602,5.27E-05,1.57E-05,no
210000000,3,940,224,627,0.5,570.3553853,120.2597759,-0.2187846908,0.4408541735,5.83E-05,337874.345,5.92E-05,1.76E-05,no
210000000,3,940,224,627,0.5,622.0892856,129.8986088,-0.1666220248,0.4780407523,6.36E-05,367900.144,6.43E-05,1.91E-05,no
210000000,3,940,224,627,0.5,662.7148541,137.1468758,-0.1107181053,0.504741249,6.77E-05,391321.7857,6.81E-05,2.02E-05,no
210000000,3,940,224,627,0.5,683.2959802,140.1107877,-0.05232808303,0.5204812002,6.98E-05,402840.8845,7.02E-05,2.08E-05,no
210000000,3,940,224,627,0.5,689.5873528,140.3958128,0.007237043933,0.5247477417,7.05E-05,406058.3002,7.08E-05,2.10E-05,no
210000000,3,940,224,627,0.5,682.4668774,137.4681569,0.06663966532,0.5174734262,6.97E-05,401142.3847,6.99E-05,2.07E-05,no
210000000,3,940,224,627,0.5,659.5490016,131.5365743,0.1245456491,0.498919709,6.74E-05,387028.1682,6.72E-05,2.00E-05,no
210000000,3,940,224,627,0.5,621.5353408,122.5660115,0.1796547003,0.4693754794,6.35E-05,364041.7575,6.32E-05,1.88E-05,no
210000000,3,940,224,627,0.5,568.1608199,110.6298916,0.2307291195,0.4295954216,5.81E-05,332089.3892,5.76E-05,1.72E-05,no
210000000,3,940,224,627,0.5,-2691.247358,96.11458676,0.2766219316,0.3804236979,5.20E-05,-1269634.428,5.09E-05,1.52E-05,yes
210000000,3,940,224,627,0.5,-3303.443842,79.39720769,0.3163024577,0.322896625,6.25E-05,-1577322.228,4.32E-05,1.30E-05,yes
